year,country,flow,intra_extra_EU,value_eur,volume_kg
2019,Sweden,Export,Intra EU,448491.0,69651.0
2019,Sweden,Import,Extra EU,21487783.0,5059005.0
2019,Sweden,Import,Intra EU,9383256.0,1890839.0
2019,United Kingdom,Export,Extra EU,365407.0,71032.0
2019,United Kingdom,Export,Intra EU,18206244.0,3000369.0
2019,United Kingdom,Import,Extra EU,341598904.0,79406964.0
2019,United Kingdom,Import,Intra EU,110727214.0,23349038.0
2020,Austria,Export,Extra EU,864143.0,134041.0
2020,Austria,Export,Intra EU,4287689.0,926713.0
2020,Austria,Import,Extra EU,2336079.0,696731.0
2020,Austria,Import,Intra EU,49381125.0,8651292.0
2020,Belgium,Export,Extra EU,1479354.0,298801.0
2020,Belgium,Export,Intra EU,14278439.0,2913581.0
2020,Belgium,Import,Extra EU,25151441.0,6530893.0
2020,Belgium,Import,Intra EU,61126297.0,11995991.0
2020,Bulgaria,Export,Extra EU,241153.0,67941.0
2020,Bulgaria,Export,Intra EU,1102820.0,225188.0
2020,Bulgaria,Import,Extra EU,2255306.0,760823.0
2020,Bulgaria,Import,Intra EU,3512582.0,923650.0
2020,Croatia,Export,Extra EU,1573582.0,212033.0
2020,Croatia,Export,Intra EU,691559.0,83684.0
2020,Croatia,Import,Extra EU,1810870.0,555734.0
2020,Croatia,Import,Intra EU,17303731.0,3133738.0
2020,Cyprus,Export,Intra EU,7200.0,768.0
2020,Cyprus,Import,Extra EU,5389118.0,1255758.0
2020,Cyprus,Import,Intra EU,2096301.0,474929.0
2020,Czechia,Export,Extra EU,25104.0,5513.0
2020,Czechia,Export,Intra EU,9056944.0,1472904.0
2020,Czechia,Import,Extra EU,7269924.0,2108092.0
2020,Czechia,Import,Intra EU,31808194.0,6104839.0
2020,Denmark,Export,Extra EU,452665.0,95009.0
2020,Denmark,Export,Intra EU,890811.0,180519.0
2020,Denmark,Import,Extra EU,21215902.0,5177428.0
2020,Denmark,Import,Intra EU,7883674.0,1813578.0
2020,Estonia,Export,Extra EU,658.0,106.0
2020,Estonia,Export,Intra EU,30605.0,8943.0
2020,Estonia,Import,Extra EU,867978.0,240839.0
2020,Estonia,Import,Intra EU,1112702.0,251165.0
2020,Finland,Export,Extra EU,250.0,43.0
2020,Finland,Export,Intra EU,83585.0,17713.0
2020,Finland,Import,Extra EU,22276645.0,5769924.0
2020,Finland,Import,Intra EU,11572974.0,2302008.0
2020,France,Export,Extra EU,2925831.0,513649.0
2020,France,Export,Intra EU,13658552.0,2581020.0
2020,France,Import,Extra EU,251547675.0,56227883.0
2020,France,Import,Intra EU,233203148.0,43869995.0
2020,Germany,Export,Extra EU,1627208.0,345057.0
2020,Germany,Export,Intra EU,54395053.0,13705248.0
2020,Germany,Import,Extra EU,239401633.0,68048501.0
2020,Germany,Import,Intra EU,176909264.0,37394873.0
2020,Greece,Export,Extra EU,543706.0,92612.0
2020,Greece,Export,Intra EU,1574508.0,252200.0
2020,Greece,Import,Extra EU,14044158.0,3150007.0
2020,Greece,Import,Intra EU,24215235.0,3911288.0
2020,Hungary,Export,Extra EU,217311.0,22012.0
2020,Hungary,Export,Intra EU,101339.0,14729.0
2020,Hungary,Import,Extra EU,559870.0,180052.0
2020,Hungary,Import,Intra EU,17232970.0,3109894.0
2020,Ireland,Export,Extra EU,1572383.0,222512.0
2020,Ireland,Export,Intra EU,135422.0,22697.0
2020,Ireland,Import,Extra EU,18495449.0,4133127.0
2020,Ireland,Import,Intra EU,7628638.0,1507381.0
2020,Italy,Export,Extra EU,61086048.0,9023666.0
2020,Italy,Export,Intra EU,152888150.0,23582928.0
2020,Italy,Import,Extra EU,431859360.0,78601322.0
2020,Italy,Import,Intra EU,264716789.0,46611769.0
2020,Latvia,Export,Extra EU,354527.0,56358.0
2020,Latvia,Export,Intra EU,2885704.0,454646.0
2020,Latvia,Import,Extra EU,799600.0,139933.0
2020,Latvia,Import,Intra EU,1576738.0,283953.0
2020,Lithuania,Export,Extra EU,72417.0,16355.0
2020,Lithuania,Export,Intra EU,594922.0,137920.0
2020,Lithuania,Import,Extra EU,940118.0,244955.0
2020,Lithuania,Import,Intra EU,3705586.0,703801.0
2020,Luxembourg,Export,Extra EU,514.0,10.0
2020,Luxembourg,Export,Intra EU,77933.0,9932.0
2020,Luxembourg,Import,Extra EU,44516.0,16320.0
2020,Luxembourg,Import,Intra EU,6148627.0,760819.0
2020,Malta,Export,Extra EU,13743.0,2469.0
2020,Malta,Import,Extra EU,5449640.0,1366780.0
2020,Malta,Import,Intra EU,5421647.0,732950.0
2020,Netherlands,Export,Extra EU,30294493.0,5228361.0
2020,Netherlands,Export,Intra EU,304678869.0,59993367.0
2020,Netherlands,Import,Extra EU,295231102.0,80350180.0
2020,Netherlands,Import,Intra EU,111313506.0,20118524.0
2020,Poland,Export,Extra EU,668629.0,112229.0
2020,Poland,Export,Intra EU,3122616.0,527108.0
